m,n_team,k,rule,seed,ok,runtime
3,2,2,veto,10,False,0.00011859997175633907
3,2,2,veto,11,True,0.00017000013031065464
3,2,2,veto,12,False,8.420017547905445e-05
3,2,2,veto,13,True,0.00018989993259310722
3,2,2,veto,14,False,6.200000643730164e-05
3,2,2,veto,15,True,0.00015620002523064613
3,2,2,veto,16,False,8.599995635449886e-05
3,2,2,veto,17,True,0.00013020006008446217
3,2,2,veto,18,False,6.410013884305954e-05
3,2,2,veto,19,False,5.8900099247694016e-05
3,2,2,veto,20,False,7.880013436079025e-05
3,2,2,veto,21,False,5.7399971410632133e-05
3,2,2,veto,22,True,0.00012780004180967808
3,2,2,veto,23,False,5.8399979025125504e-05
3,2,2,veto,24,False,5.8999983593821526e-05
3,2,2,veto,25,False,8.370005525648594e-05
3,2,2,veto,26,False,6.400002166628838e-05
3,2,2,veto,27,False,5.729985423386097e-05
3,2,2,veto,28,False,0.0001813999842852354
3,2,2,veto,29,False,6.38000201433897e-05
3,2,2,veto,30,False,6.609992124140263e-05
3,2,2,veto,31,False,6.240000948309898e-05
3,2,2,veto,32,False,0.00011989986523985863
3,2,2,veto,33,False,5.740020424127579e-05
3,2,2,veto,34,False,6.439979188144207e-05
3,2,2,veto,35,False,8.220016025006771e-05
3,2,2,veto,36,False,6.21001236140728e-05
3,2,2,veto,37,False,0.00016689999029040337
3,2,2,veto,38,True,0.0001409999094903469
3,2,2,veto,39,False,8.220016025006771e-05
3,2,2,veto,40,True,0.0002408998552709818
3,2,2,veto,41,False,6.850017234683037e-05
3,2,2,veto,42,False,6.440002471208572e-05
3,2,2,veto,43,False,0.00010519986972212791
3,2,2,veto,44,False,6.869994103908539e-05
3,2,2,veto,45,False,6.160000339150429e-05
3,2,2,veto,46,True,0.00016940012574195862
3,2,2,veto,47,False,6.400002166628838e-05
3,2,2,veto,48,True,0.00014120014384388924
3,2,2,veto,49,False,0.0001674999948590994
3,2,2,borda,0,False,5.449983291327953e-05
3,2,2,borda,1,True,0.00016819988377392292
3,2,2,borda,2,False,6.909994408488274e-05
3,2,2,borda,3,False,0.00010910001583397388
3,2,2,borda,4,True,0.00014750007539987564
3,2,2,borda,5,True,0.00014410004951059818
3,2,2,borda,6,False,7.16999638825655e-05
3,2,2,borda,7,False,5.4999953135848045e-05
3,2,2,borda,8,False,8.569983765482903e-05
3,2,2,borda,9,False,5.91999851167202e-05
3,2,2,borda,10,False,5.650008097290993e-05
3,2,2,borda,11,True,0.0001300000585615635
3,2,2,borda,12,False,5.770009011030197e-05
3,2,2,borda,13,True,0.0001417999155819416
3,2,2,borda,14,False,6.16998877376318e-05
3,2,2,borda,15,True,0.00015620002523064613
3,2,2,borda,16,False,6.7099928855896e-05
3,2,2,borda,17,True,0.00013100006617605686
3,2,2,borda,18,False,7.509998977184296e-05
3,2,2,borda,19,False,6.759981624782085e-05
3,2,2,borda,20,False,5.4900068789720535e-05
3,2,2,borda,21,False,5.519995465874672e-05
3,2,2,borda,22,True,0.0001292999368160963
3,2,2,borda,23,False,5.5999960750341415e-05
3,2,2,borda,24,False,5.6399963796138763e-05
3,2,2,borda,25,False,5.419994704425335e-05
3,2,2,borda,26,False,6.92000612616539e-05
3,2,2,borda,27,False,5.989987403154373e-05
3,2,2,borda,28,True,0.00021030008792877197
3,2,2,borda,29,False,4.950002767145634e-05
3,2,2,borda,30,False,5.010003224015236e-05
3,2,2,borda,31,False,4.779989831149578e-05
3,2,2,borda,32,False,5.050003528594971e-05
3,2,2,borda,33,False,5.0999922677874565e-05
3,2,2,borda,34,False,6.200000643730164e-05
3,2,2,borda,35,False,6.200000643730164e-05
3,2,2,borda,36,False,8.92002135515213e-05
3,2,2,borda,37,False,7.870001718401909e-05
3,2,2,borda,38,True,0.00017010001465678215
3,2,2,borda,39,False,7.609999738633633e-05
3,2,2,borda,40,True,0.00012800004333257675
3,2,2,borda,41,False,5.729985423386097e-05
3,2,2,borda,42,False,5.679996684193611e-05
3,2,2,borda,43,False,0.000125400023534894
3,2,2,borda,44,False,6.390013732016087e-05
3,2,2,borda,45,False,8.130003698170185e-05
3,2,2,borda,46,True,0.00017619994468986988
3,2,2,borda,47,False,0.0001216998789459467
3,2,2,borda,48,True,0.00015730015002191067
3,2,2,borda,49,True,0.00026780017651617527
3,2,3,plurality,0,False,6.640003994107246e-05
3,2,3,plurality,1,True,0.0002164000179618597
3,2,3,plurality,2,False,7.870001718401909e-05
3,2,3,plurality,3,False,5.959998816251755e-05
3,2,3,plurality,4,True,0.00018079997971653938
3,2,3,plurality,5,True,0.00013930001296103
3,2,3,plurality,6,False,9.220000356435776e-05
3,2,3,plurality,7,False,0.00010549998842179775
3,2,3,plurality,8,False,0.00010020006448030472
3,2,3,plurality,9,False,8.370005525648594e-05
3,2,3,plurality,10,False,9.820004925131798e-05
3,2,3,plurality,11,True,0.0002658998128026724
3,2,3,plurality,12,False,6.320001557469368e-05
3,2,3,plurality,13,True,0.00028920010663568974
3,2,3,plurality,14,False,7.269997149705887e-05
3,2,3,plurality,15,True,0.00024030008353292942
3,2,3,plurality,16,False,7.680011913180351e-05
3,2,3,plurality,17,True,0.00012600002810359
3,2,3,plurality,18,False,5.759997293353081e-05
3,2,3,plurality,19,False,5.600019358098507e-05
3,2,3,plurality,20,False,6.0999998822808266e-05
3,2,3,plurality,21,False,6.570015102624893e-05
3,2,3,plurality,22,True,0.0002732998691499233
3,2,3,plurality,23,False,8.58998391777277e-05
3,2,3,plurality,24,False,5.679996684193611e-05
3,2,3,plurality,25,False,5.700020119547844e-05
3,2,3,plurality,26,False,5.6900084018707275e-05
3,2,3,plurality,27,False,5.869986489415169e-05
3,2,3,plurality,28,True,0.00012569990940392017
3,2,3,plurality,29,False,5.6399963796138763e-05
3,2,3,plurality,30,False,5.710008554160595e-05
3,2,3,plurality,31,False,8.9599983766675e-05
3,2,3,plurality,32,False,5.8999983593821526e-05
3,2,3,plurality,33,False,0.0001441999338567257
3,2,3,plurality,34,False,6.400002166628838e-05
3,2,3,plurality,35,False,6.54000323265791e-05
3,2,3,plurality,36,False,6.260001100599766e-05
3,2,3,plurality,37,False,9.900005534291267e-05
3,2,3,plurality,38,True,0.00015030009672045708
3,2,3,plurality,39,False,6.129988469183445e-05
3,2,3,plurality,40,True,0.0001284000463783741
3,2,3,plurality,41,False,6.369990296661854e-05
3,2,3,plurality,42,False,6.440002471208572e-05
3,2,3,plurality,43,False,0.00010119983926415443
3,2,3,plurality,44,False,5.8399979025125504e-05
3,2,3,plurality,45,False,6.819982081651688e-05
3,2,3,plurality,46,True,0.0001392001286149025
3,2,3,plurality,47,False,5.62998466193676e-05
3,2,3,plurality,48,True,0.0002490000333636999
3,2,3,plurality,49,True,0.00012900005094707012
3,2,3,2-approval,0,False,5.7900091633200645e-05
3,2,3,2-approval,1,True,0.00015400000847876072
3,2,3,2-approval,2,False,0.00010020006448030472
3,2,3,2-approval,3,False,5.819997750222683e-05
3,2,3,2-approval,4,True,0.00013109995052218437
3,2,3,2-approval,5,True,0.00016020005568861961
3,2,3,2-approval,6,False,6.260001100599766e-05
3,2,3,2-approval,7,False,6.059999577701092e-05
3,2,3,2-approval,8,False,6.500002928078175e-05
3,2,3,2-approval,9,False,6.109988316893578e-05
3,2,3,2-approval,10,False,5.840021185576916e-05
3,2,3,2-approval,11,True,0.00012520002201199532
3,2,3,2-approval,12,False,5.759997293353081e-05
3,2,3,2-approval,13,True,0.00024199998006224632
3,2,3,2-approval,14,False,5.689985118806362e-05
