m,n_team,rule,seed,ok,runtime
3,2,veto,21,False,9.929994121193886e-05
3,2,veto,22,True,0.0003504999913275242
3,2,veto,23,False,0.00013420009054243565
3,2,veto,24,False,6.62999227643013e-05
3,2,veto,25,False,9.480002336204052e-05
3,2,veto,26,False,6.54000323265791e-05
3,2,veto,27,False,6.800005212426186e-05
3,2,veto,28,False,0.00014839996583759785
3,2,veto,29,False,6.440002471208572e-05
3,2,veto,30,False,9.549991227686405e-05
3,2,veto,31,False,8.750008419156075e-05
3,2,veto,32,False,6.620003841817379e-05
3,2,veto,33,False,8.070003241300583e-05
3,2,veto,34,False,6.38000201433897e-05
3,2,veto,35,False,6.240000948309898e-05
3,2,veto,36,False,7.670000195503235e-05
3,2,veto,37,False,0.00019180006347596645
3,2,veto,38,True,0.00010750000365078449
3,2,veto,39,False,7.30000901967287e-05
3,2,veto,40,True,9.220000356435776e-05
3,2,veto,41,False,7.049995474517345e-05
3,2,veto,42,False,6.140000186860561e-05
3,2,veto,43,False,5.91999851167202e-05
3,2,veto,44,False,6.010010838508606e-05
3,2,veto,45,False,6.92000612616539e-05
3,2,veto,46,False,0.00012360000982880592
3,2,veto,47,False,6.740004755556583e-05
3,2,veto,48,True,0.00019950000569224358
3,2,veto,49,False,0.00014479993842542171
3,2,borda,0,False,0.00010459986515343189
3,2,borda,1,True,0.00023939996026456356
3,2,borda,2,False,0.00011470005847513676
3,2,borda,3,False,0.00011530006304383278
3,2,borda,4,True,0.00022140005603432655
3,2,borda,5,False,0.0003057001158595085
3,2,borda,6,False,9.220000356435776e-05
3,2,borda,7,False,0.00012690015137195587
3,2,borda,8,False,5.979998968541622e-05
3,2,borda,9,False,5.779997445642948e-05
3,2,borda,10,False,7.830001413822174e-05
3,2,borda,11,True,9.810016490519047e-05
3,2,borda,12,False,9.909993968904018e-05
3,2,borda,13,True,0.00010720011778175831
3,2,borda,14,False,7.6299998909235e-05
3,2,borda,15,True,0.00011559994891285896
3,2,borda,16,False,9.749992750585079e-05
3,2,borda,17,True,0.00015770015306770802
3,2,borda,18,False,0.00011939997784793377
3,2,borda,19,False,9.610014967620373e-05
3,2,borda,20,False,9.820004925131798e-05
3,2,borda,21,False,0.00010569998994469643
3,2,borda,22,True,0.00011099991388618946
3,2,borda,23,False,7.349997758865356e-05
3,2,borda,24,False,6.309989839792252e-05
3,2,borda,25,False,7.209996692836285e-05
3,2,borda,26,False,5.439994856715202e-05
3,2,borda,27,False,5.719996988773346e-05
3,2,borda,28,False,0.00011999998241662979
3,2,borda,29,False,7.400009781122208e-05
3,2,borda,30,False,7.439986802637577e-05
3,2,borda,31,False,0.0001026000827550888
3,2,borda,32,False,9.220000356435776e-05
3,2,borda,33,False,6.630015559494495e-05
3,2,borda,34,False,0.00010469998233020306
3,2,borda,35,False,0.00013899989426136017
3,2,borda,36,False,0.000143399927765131
3,2,borda,37,False,7.109995931386948e-05
3,2,borda,38,False,0.00028779986314475536
3,2,borda,39,False,0.00013379985466599464
3,2,borda,40,True,0.00019260006956756115
3,2,borda,41,False,7.119984365999699e-05
3,2,borda,42,False,6.910017691552639e-05
3,2,borda,43,False,7.149996235966682e-05
3,2,borda,44,False,0.00010180007666349411
3,2,borda,45,False,5.779997445642948e-05
3,2,borda,46,True,0.00018880004063248634
3,2,borda,47,False,5.900021642446518e-05
3,2,borda,48,True,0.00012470013462007046
3,2,borda,49,False,0.00012289988808333874
3,3,plurality,0,False,5.959998816251755e-05
3,3,plurality,1,False,5.8900099247694016e-05
3,3,plurality,2,False,6.410013884305954e-05
3,3,plurality,3,False,9.649991989135742e-05
